"id","name","tier","family","formula","units","domain","source","assumptions","limitations_in_BWk_BSk","regional_extension_rationale","references"
"IOD","Indoor Overheating Degree","CORE","Annex 80 — Overheating magnitude","IOD = sum_z [ sum_t max(T_op,z(t) - T_comf,z(t), 0) * dt * occ_z(t) ] / sum_z [ sum_t occ_z(t) * dt ]","°C·h","Magnitude of overheating, weighted by zone occupancy","Hamdy, Carlucci, Hoes & Hensen (2017)","Single comfort threshold T_comf,z; occupancy schedule known per zone; positive part operator; sub-hourly time step dt","T_comf was calibrated on European temperate climates; underestimates intra-day variations characteristic of arid regions with diurnal range > 15 °C","T_comf must be derived from a locally validated adaptive comfort model rather than a fixed European threshold","Hamdy et al. (2017) Building and Environment 122; ASHRAE 55-2020; EN 16798-1:2019"
"CCOR","Climate Change Overheating Resistivity","CORE","Annex 80 — Resilience to climate change","CCOR = (IOD_baseline - IOD_strategy) / Delta_T_climate","°C·h / °C","Effectiveness of a passive strategy under climate-change-driven temperature shifts","Rahif, Hamdy, Homaei et al. (2022)","A baseline strategy is defined; Delta_T_climate is the projected mean annual temperature increase under the SSP scenario considered","Requires a locally meaningful baseline; importing a European baseline produces non-comparable results","Baseline defined as IRAM 11605 Level B (current Argentine residential standard); Delta_T_climate computed from CMIP6 multi-GCM ensemble for the specific city","Rahif et al. (2022) Building and Environment 208, 108599; IEA EBC Annex 80 (Holzer et al., 2024)"
"UDH","Unmet Degree Hours during power outage (Passive Survivability)","CORE","Annex 80 — Passive survivability","UDH_w = sum_t in W max(T_op(t) - T_threshold, 0) * dt , for window W in {24h, 72h, 7d}","°C·h","Habitability during a sustained power outage triggered during an extreme weather event (EWY)","Sun, Zhang, Zeng, Levinson, Wei & Hong (2021)","T_threshold = 30 °C (cooling) or 26 °C (more conservative); HVAC unavailable during W; outage triggered at the EWY peak","Threshold 30 °C calibrated to North American climates; low RH typical of arid regions modifies thermal perception (effective temperature differs from dry-bulb)","Threshold to be recalibrated using SET (Standard Effective Temperature) for low RH conditions, or alternatively WBGT/UTCI","Sun et al. (2021) Energy and Buildings 252, 111383; Levinson et al. (2019); ANSI/ASHRAE 55-2020"
"DEDT","Energy sensitivity to climate (delta E / delta T)","CORE","Sensitivity","delta_E / delta_T = slope of regression EUI ~ T_mean across SSP scenarios and time horizons","kWh·m^-2·yr^-1 / °C","Robustness of building energy performance under climate-warming trajectories","Proposed in this work, building on Flores Larsen, Filippín & Barea (2019)","Linearity of EUI vs T_mean within the SSP × horizon range considered; identical occupancy and HVAC schedules across scenarios","Linearity must be tested empirically; in highly insulated envelopes the response can be non-linear","Captures degradation of bioclimatic strategies under climate change; particularly relevant in arid regions where cooling demand is projected to rise sharply","Flores Larsen, Filippín & Barea (2019) Energy and Buildings 184; Hamdy et al. (2017)"
"DTDT_MAX","Maximum indoor thermal change rate (dT/dt max)","CORE","Hygrothermal stability","max_t | dT_in(t)/dt |  computed over the cooling season","°C/h","Intra-day dynamic stability of indoor temperature; captures the speed of thermal transients","Proposed in this work","Time series at 10-min resolution or finer; smoothed by a 3-point moving average to reduce sensor noise","None specific; this indicator is itself an extension specifically motivated by BWk/BSk dynamics","Conventional aggregated indicators (EUI, HDD/CDD, discomfort hours) are insensitive to intra-day dynamics. In arid climates with diurnal range > 15 °C, dT/dt is a primary discriminator of envelope thermal mass","Cantón, Ganem, Barea & Fernández Llano (2014) Renewable Energy 69; Flores-Larsen, Filippín & Bre (2023) Building and Environment 230"
"AWD","Ambient Warmness Degree","EXTENSION","Annex 80 — Climate forcing","AWD = sum_t max(T_ext(t) - T_b, 0) * dt   (with T_b = 18 °C in the original Annex 80 definition for summer)","°C·h","Climate-side warming forcing on the building, normalised by base temperature","Hamdy, Carlucci, Hoes & Hensen (2017)","T_b = 18 °C; integration over the cooling season","T_b derived from temperate-climate methodologies; in arid hot climates (e.g. summer Mendoza) T_b should be higher to avoid saturation","T_b regional candidate: 22-24 °C for BWk summer based on local thermal autonomy curves and adaptive comfort models","Hamdy et al. (2017) Building and Environment 122; CIBSE TM52/TM59"
"AIOD_AWD","Building Climate Vulnerability Factor","EXTENSION","Annex 80 — Vulnerability ratio","BCVF = IOD / AWD","dimensionless","Ratio of indoor overheating to ambient warming forcing; measures intrinsic vulnerability of the building","Hamdy, Carlucci, Hoes & Hensen (2017)","Linearity of the IOD-AWD relationship; both indicators computed over the same period","Linearity assumption may break in BWk where high diurnal amplitude allows night cooling; BCVF in arid climates may show non-monotonic behaviour","Validate linearity empirically per typology; if non-linear, report the IOD-AWD scatter and the regression residual structure","Hamdy et al. (2017); Attia, Levinson, Ndongo et al. (2021) Energy and Buildings 239"
"HE_ADAPTIVE","Hours of Exceedance over adaptive comfort","EXTENSION","Annex 80 — Adaptive comfort","HE = #{ t : T_op(t) > T_comf,adapt(t) and t is occupied }","hours","Frequency of exceedance over an adaptive comfort threshold","EN 16798-1:2019; CIBSE TM52/TM59","Adaptive comfort model valid for the climate; occupancy schedule known","European adaptive comfort models have not been validated for arid South American climates","Use adaptive comfort models locally validated when available (Pérez-Fargallo et al., 2024 for Chile); otherwise report HE under multiple candidate models with sensitivity analysis","EN 16798-1:2019; CIBSE TM52, TM59; Pérez-Fargallo et al. (2024)"
"ATTENUATION","Indoor/outdoor thermal attenuation","EXTENSION","Passive performance","Atten = ( max(T_in,daily) - min(T_in,daily) ) / ( max(T_ext,daily) - min(T_ext,daily) )","dimensionless (0 = perfect attenuation, 1 = no attenuation)","Thermal mass effect on damping outdoor amplitude","ISO 13786:2017","Daily amplitudes; cooling season; HVAC off or in free-running mode","None specific; ISO 13786 is climate-agnostic","Critical in BWk where outdoor diurnal range frequently exceeds 15 °C; discriminates effectively between adobe (high mass) and lightweight industrialised typologies","ISO 13786:2017 — Thermal performance of building components — Dynamic thermal characteristics; Cantón, Ganem, Barea & Fernández Llano (2014) Renewable Energy 69"
"PHASE_LAG","Thermal phase lag (time shift between outdoor and indoor peaks)","EXTENSION","Passive performance","phi = t_peak,indoor - t_peak,outdoor   (median over the cooling season)","hours","Time delay introduced by envelope thermal mass; complements attenuation","ISO 13786:2017; Shaviv, Yezioro & Capeluto (2001)","Daily peak detection robust to noise (use smoothed series); free-running mode preferred for evaluation","None specific; well-suited to BWk which presents strong diurnal cycles","Strategy of central importance in arid climates: a phase lag of 8-12 h shifts the peak indoor temperature to the cool dawn hours, enabling effective night ventilation","ISO 13786:2017; Shaviv, Yezioro & Capeluto (2001) Energy and Buildings 33; Filippín, Ricard, Flores Larsen & Marek (2022) Energy and Buildings 273"
"PASSIVE_LOSS_SSP","Passive strategy loss under SSP scenario","EXTENSION","Resilience","Loss_SSP = IOD_strategy(2080, SSP) - IOD_strategy(actual)","°C·h","Degradation of a passive strategy under future climate scenarios","Proposed in this work, building on Moazami, Nik, Carlucci & Geving (2019)","Same building model; same occupancy schedule; only the EPW file changes between actual and 2080 horizon","None specific","Anchors hypothesis H3 of the plan: passive strategies in BWk lose less effectiveness than in temperate European climates","Moazami et al. (2019) Building and Environment 162; Nik (2016) Applied Energy 177"
"INTER_SCENARIO_ROBUSTNESS","Inter-scenario robustness","EXTENSION","Resilience","R = std_{m in M} ( IOD_m )   for ensemble M of GCMs under fixed SSP and horizon","°C·h","Inter-model dispersion of building performance across the GCM ensemble","Proposed in this work, following Nik (2016) and Almazroui et al. (2021)","GCM ensemble with at least 8 members; equal weighting (or entropy-weighted variant)","Inter-model dispersion is itself larger over the Andes than over flat domains, so this indicator is essential — not optional — in our region","Quantifies the climate uncertainty propagated into the building outcome; reporting only the ensemble mean hides the spread","Nik (2016) Applied Energy 177; Almazroui et al. (2021) Earth Systems and Environment 5(2)"
"SET_HOURS","SET-weighted exceedance hours","EXPLORATORY","Annex 80 — Heat-stress weighted","SET·h = sum_t max(SET(t) - 30, 0) * dt","°C·h","Heat stress weighted by Standard Effective Temperature","Sun et al. (2021); ANSI/ASHRAE 55-2020","SET model assumes moderate-to-high relative humidity","Very low RH (sometimes <20%) characteristic of the arid regime falls outside the validation envelope of the SET model","Compare against UTCI or WBGT; report all three, document which is most consistent with measured discomfort surveys","Sun et al. (2021); ANSI/ASHRAE 55-2020; Gagge, Fobelets & Berglund (1986)"
"HIHH","Heat Index Hazard Hours","EXPLORATORY","Heat-stress","HIHH = #{ t : HI(T, RH) > HI_threshold }","hours","Heat stress as Steadman Heat Index exceedance","Steadman (1979); Tao, Sahin, Akbari et al. (2024)","Steadman model calibrated on humid mid-latitude climates","Underestimates heat stress in dry climates; not recommended as primary indicator. Prefer UTCI or WBGT in our region","Reported only for cross-comparability with international literature; flagged as potentially misleading in BWk","Steadman (1979) J. Applied Meteorology 18; Tao et al. (2024) Energy and Buildings 307"
"DISCOMFORT_PERSIST","Discomfort persistence","EXPLORATORY","Hygrothermal stability","P = mean duration (h) of consecutive runs where T_op > T_comf","hours","Severity of discomfort beyond simple counting of exceedance hours","Proposed in this work","Run-length encoding on the binary series 1{T_op > T_comf}","None specific; run lengths in arid climates tend to be shorter than in humid climates due to nocturnal cooling, so this indicator captures regime differences","Two buildings with the same exceedance hour count can have very different occupant impact: a cluster of 8 consecutive uncomfortable hours is worse than 8 isolated hours","Carlucci & Pagliano (2012) Building and Environment 53"
"HYGRO_STABILITY","Joint T-RH-dewpoint stability score","EXPLORATORY","Hygrothermal stability","S = std(T_in) + alpha*std(RH_in) + beta*std(Td_in)   with alpha and beta to be calibrated","dimensionless (composite)","Joint stability of indoor T, RH and dewpoint over a defined period","Proposed in this work","alpha and beta to be calibrated against occupant comfort surveys; provisional alpha = beta = 1","Coefficients require local calibration","In arid climates condensation risk is low but moisture variability still matters for material durability and respiratory comfort","ASHRAE Standard 160-2016 — Criteria for Moisture-Control Design Analysis in Buildings"
"ACRS","Arid Climate Resilience Score (composite)","EXPLORATORY","Composite","ACRS = sum_j w_j * normalised_KPI_j   with weights w_j from Shannon entropy weighting (Diakoulaki et al., 1995)","dimensionless (0-100 scale after normalisation)","Single-number summary score over the 5 core KPIs","Proposed in this work, building on Diakoulaki, Mavrotas & Papayannakis (1995)","Min-max normalisation per KPI before weighting; PCA used as sensitivity check on weights (OECD, 2008)","A composite score always loses information; ACRS must be reported alongside the individual core KPIs, never replacing them","Useful for institutional audiences (IRAM, INTI, IPV) requiring a single score; entropy weighting avoids subjective weighting and is reproducible","Diakoulaki, Mavrotas & Papayannakis (1995) Computers & Operations Research 22; OECD (2008) Handbook on constructing composite indicators"
